rh.aparc.a2009s.volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med_and_Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume
158338,2431,2900,2507,4120,2396,8159,4092,3929,2364,687,2980,3583,1144,3818,11576,18994,1316,2317,5657,3399,7531,5666,5298,8810,8988,7506,6449,4942,8210,8041,1804,656,1145,6505,2924,2077,8759,11893,690,560,2302,4149,6179,4606,5348,2074,1690,2614,2974,2567,1086,5503,5382,6582,564,6803,1214,2411,1605,2583,3827,1044,1212,3249,3699,1836,4148,3486,2660,611,2688,2693,12775,605
158540,2069,1923,3083,3224,2685,5996,3324,3220,1432,491,3869,3187,957,1979,9391,19841,1290,2177,5018,3799,6163,4524,4466,8765,7087,7366,5369,3815,6429,6266,1873,603,1306,6680,1683,2477,6121,8763,474,238,2846,3903,5327,3517,4294,2338,1383,2076,2633,1948,421,3433,5077,5179,294,4343,1526,2936,983,1882,3224,994,1358,3334,3462,1584,3253,2588,2896,829,1619,1830,11019,620
158843,1846,1730,2695,2275,2077,5763,3392,2797,1226,595,3175,4087,842,3024,9004,16730,1105,1966,5715,2935,3957,4716,3363,6843,6557,5958,4410,3602,6403,6109,1614,507,774,4679,1471,1421,6752,9187,646,296,2096,4403,6418,3735,4093,2448,1100,1971,2183,1581,611,4078,2796,4394,882,4596,1296,2769,1286,1346,3054,812,1242,2566,4210,1481,4006,3436,2181,679,1628,2231,10203,620
159138,2665,2843,2164,4541,2930,7475,4698,3175,1915,987,4320,3275,930,2959,11748,21529,1398,2215,6416,3749,7057,6237,4136,8910,8691,6734,5211,4647,7267,7899,1927,1165,1104,5940,1995,1758,7294,9609,435,185,2598,5090,6738,4776,4624,2490,960,2283,2438,2970,1058,4334,4268,5725,559,6938,2245,2705,940,2331,3601,973,1712,2948,4200,1934,3978,3214,2730,597,2732,1216,11262,666
159239,1675,3208,2046,2986,1677,5124,3079,2257,1421,635,4150,3040,1033,2360,8295,15464,1131,1754,5528,3563,3935,4170,3270,7067,7257,5491,4959,3787,6242,5346,1464,1130,1121,5726,2100,1551,6564,8544,568,499,1839,5018,5249,3024,3494,1649,1421,1884,1968,1802,975,3276,3235,3842,240,6215,2169,2718,788,1550,3611,660,1208,2303,4374,1388,3322,2187,2543,479,1327,2072,9725,563
159340,2076,2705,2183,2423,2317,7076,4108,3695,1604,899,3044,3403,641,2621,10910,16699,1375,2418,6939,2963,5363,5619,4507,7116,6735,6418,5167,3545,6352,5346,1933,616,1036,5789,1646,2109,6577,9260,1022,370,2031,4881,4851,3827,4449,2230,989,2329,2582,2015,709,4229,5417,4863,948,5399,1944,2797,2630,1629,3130,847,1558,2699,3963,1807,2991,2722,2779,777,2106,2050,11201,475
159441,2245,2266,2663,3045,2286,5089,3194,3274,1481,621,2632,3173,697,1894,9965,19183,1440,1686,3762,3502,5629,5034,3977,7316,7939,5364,5092,3800,7091,6389,1890,709,890,5772,1562,1732,5433,7417,540,652,1951,4627,4162,4270,3877,2371,1020,2098,2162,2077,758,2952,3055,4438,829,4470,870,2147,882,1472,2318,534,1228,2944,2981,2027,3562,3474,2523,949,1559,1661,9311,488
159744,1959,2626,2241,3590,2553,6189,4133,3550,2018,654,3921,3514,871,1633,10394,20619,1738,2593,6323,3528,5158,6302,3355,7278,8954,7904,4598,3821,6544,6707,1959,610,1221,6315,1533,1965,6309,10843,528,249,1857,5024,4819,3708,4346,2469,1230,2273,2275,1565,962,3255,4395,4088,1782,5696,1291,2747,1708,1616,3694,538,1644,3007,3117,2571,3926,2850,2676,627,2246,2753,13156,528
159845,1828,2613,2168,3086,2654,5632,2854,2352,929,786,3509,3049,1400,2555,8769,15810,960,1785,5401,2733,4652,5117,2474,6199,5656,5885,4602,3538,6319,5798,1488,481,780,4582,1376,1605,3932,8376,641,332,1853,5122,4645,4221,3827,1693,1199,1715,2575,1255,674,3768,2973,3907,565,4981,2177,1472,1334,995,2757,922,1392,2308,3111,1554,3486,2362,1917,565,2008,1694,8803,527
159946,2331,3948,2664,3437,2833,7171,4340,3621,2316,894,4614,5223,1068,2989,12734,21555,1521,2867,5718,5052,5664,6433,4479,9062,10533,8208,5251,5101,7380,7819,2084,748,1274,7227,2309,1242,7301,11618,790,468,2131,5926,6937,5458,4585,2467,1076,2797,2963,2049,1442,6367,4827,6286,1278,7325,2172,3587,1970,1224,3716,1073,1884,3944,4799,1994,4434,3483,2521,818,2103,2663,12647,722
160123,1769,2170,2182,2899,1950,5612,3380,2818,1602,861,3504,3098,874,3011,11225,16482,1401,1797,5768,2215,4880,4591,3630,6667,5941,6457,4218,4117,6242,5348,1454,343,1038,4659,2279,1564,7297,8323,783,604,1804,4288,5729,4162,4095,1802,1346,2080,2426,1810,719,3910,4201,5385,552,4656,1680,2190,819,1652,3398,901,1554,2891,3077,1672,4694,2611,2473,539,1645,1682,10357,521
160729,2304,2240,2004,3209,2457,4959,2590,2269,1328,449,2788,3356,984,2117,9079,16057,952,1719,4744,3292,4239,4437,4221,6867,6456,5971,4453,4029,6512,6172,1337,286,568,4238,1742,1914,7786,8425,606,181,2140,4273,5927,2973,4031,1624,974,1728,2106,2229,941,3379,2828,3877,1291,3553,1248,2235,1025,1773,2745,373,1225,3262,2694,1365,3881,3208,1879,740,2114,2112,9969,341
160830,2361,3063,2860,2863,2742,6910,3441,3168,1741,565,3324,3086,1129,3399,11819,19031,1572,2333,6147,3385,3946,4862,4647,6385,6924,6505,3918,3799,6502,5697,2136,779,1176,4775,2287,1748,7366,8433,694,306,2418,4502,5523,3410,4551,2367,1000,2293,2279,1688,1071,3694,4935,5427,475,6155,2121,2289,1217,1216,3750,911,1689,3583,2894,1966,3338,2497,2557,452,2252,2270,10239,262
160931,2034,2648,2250,2402,2032,6268,3103,2619,1669,555,3159,3315,830,2860,9894,14938,1385,2082,5483,2412,5237,5151,4623,6812,6781,6616,4824,3218,6148,6080,1707,481,910,4509,1975,1275,6993,10900,526,377,1710,4269,4745,3503,3888,1679,868,1880,2468,1804,613,3445,3953,5393,580,5380,1690,1933,1302,1944,3020,854,1318,3042,3347,1720,3805,2705,1696,433,2369,2682,13230,365
161327,2101,2406,2298,2184,1999,6480,4060,3264,1661,532,3070,3376,635,3115,11167,16260,1230,2241,5106,2625,6198,4805,4284,6653,6829,6665,4186,3815,6450,5905,1662,790,747,4669,1310,1375,7441,7430,844,303,1716,4235,5498,3903,3824,1854,1023,2155,2263,1832,502,4498,4833,4481,211,4945,1407,1960,1166,1287,2413,1040,1333,2830,3433,2440,3978,2126,3314,419,1666,2189,10019,611
161630,2456,3037,2791,3304,3359,6883,4066,3311,1915,723,3715,4037,601,2461,11396,19077,1683,1444,6578,4444,6414,4923,4221,8049,7812,7620,4662,4097,7842,7548,1951,635,859,5105,2001,1769,9358,9491,529,392,2071,5298,6049,4904,4453,1889,885,1933,2461,2072,671,3272,3891,6817,567,6116,2779,3101,1274,1385,3950,544,1310,3294,3864,1925,3278,2885,2367,645,2974,1812,10030,650
161731,1689,2406,2721,3123,2925,5827,2915,3499,1690,536,1220,2777,1009,2463,9001,15408,1211,1580,4665,2376,5212,5134,3560,6182,5933,5430,5103,3813,5584,5929,1672,453,737,5219,1474,1510,5569,7727,850,274,2094,3596,5713,2001,3412,2576,915,2031,1937,1523,1166,4054,3220,3739,1046,4683,1150,2158,1916,1925,3245,1067,1233,2071,1302,1247,3316,2188,1645,511,3953,1936,9978,520
161832,1741,2383,2529,3559,2556,5951,3634,3603,949,559,3476,2960,1252,2116,10291,18381,1868,2158,5832,2633,5067,5734,3269,6915,8658,7965,6001,4056,6521,5790,1847,518,838,5183,2038,1434,8346,9625,441,538,1936,4510,6594,3193,4016,2108,1130,2020,2263,1719,701,3703,4797,4969,645,5805,948,2487,1037,2154,3767,658,1408,2119,3730,1714,3021,2968,1948,681,2404,2188,10901,439
162026,2511,2781,2114,2381,2977,6102,3228,2968,1145,504,2939,3983,800,2573,9949,15817,1083,2146,4025,2973,5337,4959,3632,5808,6950,5024,5337,3134,6028,5553,1891,471,685,4742,1356,1298,5354,8817,736,450,1802,5154,6029,3342,3778,1886,1076,2077,1870,1714,670,4415,2497,4113,558,4962,1200,1842,1556,1599,3770,697,1341,2092,2849,1581,3235,2590,2087,463,2030,2157,9159,498
162228,2900,2891,3549,4469,2976,8415,5024,5007,2506,863,4093,3948,1025,2995,12431,21914,1555,2790,6468,4689,7200,6838,6372,9173,8518,7034,5978,6011,8835,7230,2041,825,1037,6533,2503,2582,11878,13383,754,368,2336,5313,7916,3766,4908,3063,1242,1818,3368,2463,937,3989,4714,5305,764,6136,1789,3878,1620,2126,4716,672,1633,3505,5288,2820,5699,2953,3052,993,1652,3933,13063,545
162329,1753,1552,3011,2505,2609,5033,3102,3084,1175,402,2717,3101,964,2878,6875,15127,1062,1502,3334,3518,4735,3285,3260,6246,6084,5249,4334,3723,5825,4519,1469,477,917,4465,1279,1428,7384,7025,937,316,1730,3913,4695,2756,3466,2035,1064,1820,2011,1987,522,2893,2591,3832,605,4974,724,2889,1221,1614,3110,992,1126,2126,3434,1891,4066,2359,1568,310,1127,1947,9063,585
162733,2488,3258,2954,3623,4025,6594,4349,3910,1364,687,3635,3449,1153,2748,8874,19943,1523,2114,5278,3444,4430,6660,3655,7148,7460,6368,5013,3886,7850,5927,1976,858,804,5501,1922,2319,8710,9178,1124,438,2451,4281,5958,3655,4695,2218,1045,2034,2237,1750,872,3762,5406,5991,461,6434,1594,2124,1454,1738,2700,805,1621,2892,3899,2132,2865,4107,3014,584,2398,2389,10586,516
162935,2525,2807,3243,3291,2438,7188,4236,3375,1642,694,3756,3721,850,2591,12739,17166,1716,2072,5934,2559,5912,6599,3957,7404,7500,7072,5584,4390,7122,8608,1852,501,965,6229,2700,1763,7934,9996,813,330,1743,4865,5992,3589,4407,2799,1207,1949,2427,1919,957,3678,3272,4626,350,5461,1919,2627,1116,1694,4058,682,1575,3271,3184,1697,4640,3059,2761,318,2471,2096,11556,598
163129,2064,2516,2330,2882,2508,5297,3249,2485,1640,776,3121,3006,767,3073,8436,17564,1218,1817,4899,3211,3907,4926,4384,6314,7713,4717,5161,3224,6284,6208,1693,276,1037,5429,1405,1640,7456,8130,525,497,2357,4949,5637,2861,3991,1974,717,2496,2142,2077,1135,3343,5077,4517,344,5769,1449,1935,1548,1470,2841,639,1259,2580,2828,1537,2383,2843,2601,613,2163,2878,10610,464
163331,2292,3096,2767,3013,2182,6449,4271,3090,1582,819,3432,3446,1092,3234,10536,17074,1320,2082,5344,3892,4140,5544,4006,7263,9673,6211,4513,4049,7548,5623,2089,677,1000,5943,1914,2230,6820,8055,816,445,2586,5612,4978,4638,4517,1862,1215,2230,2320,2280,1253,3794,3739,5703,559,4370,1580,2493,1022,1660,2797,670,1568,3378,2967,1360,2867,3444,2408,799,2549,1498,10406,493
163432,2327,2571,2596,2740,3100,6040,4123,3071,2069,608,1539,3828,837,1914,9371,15129,1212,2101,6803,3224,4664,5828,4092,7281,6370,6396,2946,5254,6679,5997,1376,589,1046,5781,1575,1664,7586,8557,499,353,2141,4539,5895,3016,5103,2427,909,2536,1837,2005,807,3561,3618,4369,1043,3579,1536,2042,1112,1683,3242,551,1217,2713,2180,1995,3812,2123,2179,407,3788,2392,10990,521
163836,2281,2641,2109,2432,2379,6618,2943,3256,1683,617,2774,2992,784,2695,9302,20535,904,2153,4186,2857,4455,4194,3577,6465,7281,5217,3892,4376,6831,6309,1806,805,719,4816,1421,1452,6762,7373,736,476,1719,3974,5595,3145,4521,1876,1072,1687,1988,1831,908,3864,2500,4314,518,5232,1437,2228,1039,1336,3204,732,1730,2776,3282,1252,3771,2659,2276,515,2182,2016,8636,513
164030,1690,2445,2603,2660,1724,6065,3328,3295,1541,1203,3503,4324,895,3053,10391,16980,1364,2285,5270,3676,5341,6320,3646,8119,7264,6711,4950,4561,8095,5324,1691,376,1157,6124,2294,1873,8687,9900,516,288,2394,4233,5600,4617,4664,2123,1277,2295,2663,2884,952,3520,3324,4739,413,5692,2250,2340,1646,1687,2920,948,1486,3533,3283,1054,3220,2622,2705,467,2055,2602,9778,427
164131,2280,2743,2797,3080,2740,6964,3752,2782,1284,677,3998,3183,882,2464,13307,17755,1311,2264,4122,3870,5547,5946,4027,7190,7801,6378,4947,4041,6145,7224,1835,660,1260,6234,2169,2274,6189,8900,639,401,2194,6225,4633,4621,4762,2346,954,2502,2160,1850,753,4079,5179,4731,1033,5554,1165,2542,1344,1741,3426,796,1303,3275,3233,1424,3044,2661,2079,598,1734,1835,9221,478
164636,2332,2980,3327,3227,2701,7066,3745,4083,1704,951,3632,3369,1166,4385,10499,19408,1497,2172,5960,3868,6778,6277,3962,7766,8765,6755,5498,4159,6961,6145,1907,421,1079,6082,2144,1971,6706,10701,634,368,2323,4877,5959,3613,4810,2884,1008,1976,2342,1935,662,5054,4474,5471,356,6191,1240,3088,1732,1705,3995,983,1186,2958,3342,2310,3396,2322,1843,520,1916,2100,12577,447
164939,1941,2054,2461,2387,2665,5516,3274,2782,1076,390,2987,3009,1077,2311,7088,15619,1079,1679,4108,3194,4431,4863,2636,5773,6130,5640,2496,4179,6392,3862,2021,585,619,4308,1381,1074,6489,8127,700,285,1876,4164,4636,2847,4807,2045,934,1564,1608,1255,818,3385,3704,4123,453,3879,902,2910,1097,1420,3226,562,1205,2015,3164,1209,3307,3171,1736,508,1195,2114,12158,473
165032,1857,1660,1895,3159,2549,7087,4534,3012,1704,825,3664,3775,845,3830,8395,14993,1416,2246,5968,3354,4541,5134,4229,6457,6484,7634,4855,3418,5443,7102,1822,1072,1035,4978,1931,1714,7861,9454,771,380,2253,4401,5895,4540,3673,1744,1378,2274,2275,1968,905,4045,3086,3518,256,6018,1338,2587,1188,1321,2800,865,1425,2879,3038,1750,4292,2673,2009,426,3084,2684,10537,448
165234,2486,1909,2097,2499,3014,5011,2854,2586,1290,438,2436,4949,607,2485,9685,18982,1319,1787,4808,2792,4694,4136,3227,6877,7188,6259,5856,3576,6355,5543,1673,372,1130,4790,1692,1427,7850,8962,654,501,1992,4378,5453,2443,3839,1866,955,2211,2566,2120,722,3532,3522,5585,840,5595,708,2394,2505,1970,4065,624,1426,2916,3634,1188,3257,3538,2709,589,2461,2097,12977,504
165436,2551,3195,2063,2801,2522,6597,4031,3269,1822,805,3620,3768,913,3185,11565,19091,1150,1927,4934,3997,4869,6280,4791,7241,7298,4780,5824,3179,7366,6155,1664,459,987,6305,1919,1527,8440,8323,798,504,1866,4984,5604,4208,4677,2793,1195,2687,2363,2547,707,4202,3237,4755,977,6551,1292,2760,1473,2320,3247,1010,1405,3246,4597,1402,2726,3588,2319,1088,1416,3042,13035,379
165638,1861,3980,2581,2836,2147,6004,3563,2974,1384,648,3870,2535,922,2730,9739,15302,875,2236,4880,3053,6489,5934,3922,5920,7476,6607,5600,4835,6911,6606,1752,628,895,6482,1895,1509,4768,7836,613,264,1833,4732,4791,4805,4661,1645,761,2118,2168,2522,588,3078,4695,3809,845,5506,1362,1435,1599,1282,2781,591,1279,2397,3545,2201,3659,2243,1862,532,1421,1578,11112,336
165840,3292,2595,3433,3136,3256,7485,3616,4203,1549,780,3705,3513,1081,4093,9735,19952,1491,2553,5713,3479,6375,5836,3991,7905,8328,6539,5055,4655,7265,5313,1819,516,1283,6387,2468,1915,9609,11041,883,466,2233,4853,6204,4228,4769,2816,1119,2264,2631,2297,716,3662,5368,4220,1006,5081,1366,3343,1798,1893,4088,640,1541,3179,4832,1925,3542,2107,3087,759,1960,2985,11882,442
165941,2338,1752,2064,2705,2801,6454,3475,2430,1141,571,3038,2689,1047,2024,9399,16787,1162,1947,4283,2910,3904,4607,4449,6418,5328,7515,4345,3775,5621,6719,1863,392,820,5162,1901,1630,7850,8515,753,377,2136,4097,5265,2642,4082,1824,1566,1788,1871,1846,850,2593,3654,4176,517,4584,1853,2051,1439,1442,2733,666,1530,2795,3932,992,4025,1569,2065,472,2584,2819,9673,395
166438,2768,2927,2609,4426,3069,7521,3983,3709,2001,566,3535,4114,1037,2462,13377,20600,1556,1973,7717,3378,4872,4769,4277,7480,6209,7033,4783,4598,8249,6776,2157,392,962,6894,2430,2380,8028,9897,653,524,2264,5523,5930,3053,5215,2472,1292,2354,2381,2064,903,4292,5619,5464,1346,4443,1928,2841,1611,1752,3516,851,1416,3400,4257,1743,3739,3110,2669,917,2927,2643,13479,621
166640,2395,2409,2583,2571,2935,6158,3823,3543,1888,827,3661,3281,733,3375,11749,17624,1564,1920,6155,3579,5590,6365,2942,7255,9247,7388,5237,3769,7166,5092,1727,639,714,5511,1904,1404,7610,9616,750,386,1936,4360,4766,4278,3840,2142,1114,1824,2194,1637,1045,3997,4365,4973,1382,5564,2339,2621,1873,1719,3388,1248,1733,3021,3939,1746,3602,2888,2392,726,2072,2289,11191,566
167036,2216,2890,1817,2870,3602,6357,3291,2352,1158,586,3320,4026,825,2953,6130,15589,1094,2073,3967,3258,4557,4486,4014,7107,8097,6745,4586,3767,5376,6558,2136,654,522,5081,1667,1316,6515,9053,519,260,2117,4821,4762,4127,3744,1568,1093,2020,2589,1333,729,3657,3253,3252,955,4761,789,2479,1227,1366,2869,584,1484,2569,2820,1358,3276,3095,1721,444,2760,1345,9838,516
167238,1955,2921,2668,2461,2224,6512,3638,3144,1441,565,4026,3531,891,2414,10702,19302,936,2120,5666,4241,5286,6330,2817,7059,7599,6675,4428,5565,8498,5878,1625,224,1205,6026,1956,2587,7559,11254,943,554,2400,4677,6044,3980,4586,1846,1458,1801,2257,2175,1212,3429,3940,4723,406,4173,1640,2467,1463,2056,2785,1008,1474,2983,4631,1172,3688,2646,2545,812,1975,2437,11509,537
167440,2391,2458,1929,3167,2638,5604,4088,3092,1213,629,3488,4113,512,2085,10127,14800,1195,1556,6418,3278,5956,5709,3593,6547,6138,6389,5774,4147,5443,6495,1416,427,740,5804,1833,1472,7231,9773,544,193,1888,4565,6848,3527,3680,1510,1046,2061,1956,1847,329,2966,4232,4090,387,4506,1669,2424,1606,2076,3673,355,1071,2895,3825,1773,3763,2506,1429,825,2510,2407,11260,524
167743,2231,4178,2376,3265,3048,7166,3859,3827,1506,491,2555,4816,644,2906,13901,19233,1239,1957,5528,3338,3456,5449,3999,7628,8625,8156,6152,3664,6863,6993,2019,976,1132,5142,1866,2124,8884,10639,648,268,2293,4209,5238,2875,4084,2114,788,2521,2661,1725,594,4487,4756,4696,1333,5858,1283,2694,1164,1906,3326,878,1447,3578,3579,1734,4009,3805,2359,632,2628,2661,11244,521
168038,2212,2788,2689,2167,3202,6611,3908,3407,1302,413,3402,4861,1446,2880,13457,19571,1374,2425,5680,3014,4594,5899,4777,6630,9067,5175,3951,3710,7003,5223,1896,683,1321,6900,2041,1764,6671,9852,691,433,2311,4841,4420,3386,4870,2588,1365,2396,2549,1672,1530,4187,5131,5954,1244,5057,2042,3259,1384,1653,4225,1018,1523,2945,4652,2544,3139,3275,3167,631,1529,2029,12510,396
168139,2239,3004,2685,3299,4321,7912,4389,3348,1528,677,3319,4411,1187,2950,14165,19406,1211,2031,5879,3258,6255,4151,3477,7219,9305,7319,4776,4709,8926,6872,1589,329,1327,6407,1462,2283,7213,10693,746,525,2343,4581,5571,3437,4773,2009,1217,2407,3107,2110,1278,4389,4681,5112,640,5963,1611,2757,967,1415,5556,1096,1182,2954,3517,1368,3337,3460,2500,704,1811,2042,12885,608
168240,1838,2317,2191,2814,2689,6904,3732,3310,1698,712,3558,3926,1090,2937,11415,20418,1468,2202,6315,4125,4236,5032,4094,6590,7810,5817,4418,4071,8080,5678,1772,621,899,5663,2363,1932,6901,10802,637,252,2237,5822,5336,3180,5186,2313,1375,2056,2187,2273,942,3462,3938,5723,867,4560,2061,2392,1173,1607,3171,916,1222,2439,4254,1865,2647,3341,2104,740,1737,2764,12353,611
168341,2413,3381,2626,2571,2547,6197,3563,3207,1287,518,3674,2930,1018,1775,10850,17231,1407,2061,5057,2962,5001,4837,4016,6442,4815,6034,4086,3453,7438,5594,1892,923,1221,4410,2199,1330,6531,8909,588,298,1916,4024,5261,2887,4413,2171,1346,2366,2135,1520,1034,4836,4576,4716,1212,4377,1177,2205,1752,1209,3243,869,1664,2279,3451,1893,3814,2738,2445,789,2007,2287,9553,462
168745,2481,2601,2554,2090,2697,5788,3876,3123,1630,859,4074,4069,1108,2825,9071,16766,1386,1296,5032,2873,4734,4721,3382,7065,8051,7431,5319,3066,5912,6379,1639,398,1048,5510,2111,1456,6507,8861,783,638,2418,5018,6469,4031,3761,2307,1414,2138,2650,2085,721,3771,3625,4307,443,5784,1267,2480,1236,1525,3095,612,1227,2851,4388,2527,3429,2880,2432,648,2097,2759,10201,447
168947,1706,1994,2083,3018,1789,6590,3019,2133,999,825,3391,2741,950,2908,8667,15072,992,1562,4412,2871,2715,4713,3963,5193,5746,5457,4755,2931,5258,5711,1496,342,1240,5917,1812,1567,6892,7461,806,592,2346,4024,4903,4058,3508,1590,911,2570,2330,2007,579,3489,2660,4553,791,4177,2038,1147,672,1293,3166,708,1103,2461,2726,1097,2535,2149,1917,315,1464,1323,8888,520
169040,2800,2906,2474,2710,3417,6859,4413,3321,1737,536,3577,4428,790,3271,9957,17341,1344,2625,5352,2832,5457,4263,3780,7078,7255,7896,5075,4444,6700,5753,1698,901,746,5774,1694,1247,5774,9142,903,601,1825,4334,5113,2945,4441,2035,936,2141,2216,2109,705,3612,4784,5703,1082,4560,1189,1899,1120,1970,3614,1049,1408,2791,3869,1882,4329,2746,2634,1235,1744,1577,11641,520
169141,2720,2418,2613,3680,3222,7040,4037,3770,1078,833,3524,4810,827,3284,11353,19007,1170,2541,5676,3754,6637,3960,3747,8872,7992,7507,4739,4292,6644,7370,2368,523,973,6210,2261,2230,9405,9385,1149,408,2362,4517,5713,3313,4172,1919,1078,2862,2786,2455,885,5435,3590,5325,707,5202,2129,2260,1494,2383,4017,1011,1828,3257,2979,1579,4566,3265,1865,231,2405,2953,11671,461
169343,2216,1923,2460,2529,2694,6340,3522,3758,1554,813,3591,3656,847,2899,10651,18356,1135,2052,5278,3122,5012,5667,3902,7018,7034,5422,4601,4272,6169,6196,1740,709,855,4616,1172,1974,8713,8036,596,391,2231,4911,4371,4521,4040,2683,1154,2122,2148,1995,412,4371,3272,4692,1008,4452,1569,2976,1320,1880,3063,705,1017,3322,2781,1640,4257,2393,2483,1009,3313,2084,9603,552
169444,2120,2214,2174,2567,2297,5734,3564,3069,1216,413,2930,3841,1415,2108,10096,14987,1149,1997,4663,2780,6078,3750,3445,7010,7698,5373,4276,3435,6198,5517,1740,256,861,5460,1528,1828,5404,9278,471,216,2089,3835,5800,2618,3803,1714,1232,1804,2372,1620,523,3374,3195,4158,655,3909,1097,1893,1193,1533,3241,579,1231,2314,3929,1376,2845,3135,2010,344,2165,1769,10716,507
169545,3116,2676,2655,4025,3914,7606,4632,4830,2453,1109,4792,4988,860,3294,14750,27429,1653,2702,8114,4327,9091,5593,6247,9001,11327,11739,6680,5609,8098,9087,2035,1334,1408,8212,3307,2498,11268,13724,989,502,2637,5921,6935,5504,4517,2738,1252,3196,3186,3088,805,4323,5441,7004,892,6101,1939,3291,1435,2863,4473,1068,1789,3899,4491,4244,4741,3400,2910,499,2592,4116,16260,666
169747,1675,2796,2338,3333,3084,5586,3166,3045,1452,593,3189,3738,1083,2755,11787,16097,1183,2811,6302,3783,5884,4993,4162,6391,7441,5472,4320,4613,6941,6806,2011,255,816,6344,1398,1998,7340,9162,799,348,2279,4686,5140,3259,4363,2557,1261,2455,2546,1074,806,3301,4833,5509,342,3775,2027,2301,2377,1762,3670,446,1185,2567,2513,1550,3763,2588,2341,510,1916,1638,10631,590
169949,2174,3106,2312,2572,2659,6350,3784,3298,1910,694,3090,3097,532,2327,10858,18007,1667,1836,5088,3480,7158,4760,3130,6570,7325,7011,4615,3576,6495,5562,1684,695,1083,6003,1769,1652,6562,8192,624,231,2086,5065,7401,3980,4224,2532,851,2652,2429,2645,1411,3721,4152,4004,1080,4900,2155,2296,703,1855,3708,867,1347,2657,2236,2493,4320,2626,2261,472,3974,2048,11587,545
170631,1969,3189,2622,2409,2118,6081,4007,2927,1471,612,4270,3852,729,2493,13925,17792,949,1949,5305,4179,5497,4870,4400,6717,6618,7390,5773,4405,6739,7137,1373,579,1018,5462,1477,1627,6097,8179,592,331,2064,4833,5582,4019,4542,1807,754,2050,1951,2273,773,4170,5077,5356,986,4603,1086,2530,1446,1718,3172,586,1314,2904,4322,1631,3531,2595,1934,715,2500,1870,10089,539
170934,2112,3104,2698,2978,2101,6986,4267,3564,1534,543,3602,3142,1010,3491,12548,20279,1381,2027,6443,3590,6301,5174,5076,8363,8955,7045,6927,4123,8739,7823,2573,791,1391,7175,2723,1559,7863,11010,527,674,2634,4548,6274,3404,4867,2291,1150,2209,2476,2649,574,4938,5274,5558,482,6740,1864,2720,1864,2197,4027,1029,1647,3302,4231,1928,4255,3171,2310,705,2963,2388,13376,403
171128,2221,2541,2556,2501,2565,4912,2507,2117,1380,620,2471,3029,898,2627,8914,14450,918,1589,3578,2225,3901,3633,3522,4961,4766,5708,3513,3739,6502,4593,1565,375,678,5289,1311,1893,5537,6556,538,502,2164,3020,3893,2495,4239,1787,1080,2192,1920,1733,621,2773,3534,4890,286,3454,772,1879,949,1051,2402,622,1200,1992,2925,1058,2340,2445,2323,1011,2031,1581,8125,494
