Name,frecuency,variation (a/k)
rh_Lat_Fis-ant-Vertical_area,4,0.09245745122457451
rh_G_and_S_subcentral_area,7,0.09132299825717585
rh_G_cingul-Post-ventral_area,5,0.0903134800442397
lh_S_front_sup_area,5,0.0878347477003036
lh_Lat_Fis-post_area,5,0.0858837308273247
rh_G_front_inf-Opercular_area,2,0.0835928515928516
lh_S_oc-temp_med_and_Lingual_area,4,0.08213484050196379
lh_G_front_inf-Orbital_area,6,0.08139831583406082
rh_G_temporal_inf_area,8,0.07895782299356799
rh_G_precentral_area,6,0.07886348963061292
lh_S_circular_insula_inf_area,5,0.07861329538041867
lh_G_temp_sup-Plan_tempo_area,7,0.07858048301840392
lh_S_oc_sup_and_transversal_area,6,0.07671681551619687
rh_S_interm_prim-Jensen_area,7,0.07664764330909363
lh_G_precentral_area,5,0.0707362391033624
lh_G_and_S_paracentral_area,4,0.06610447087159416
lh_S_oc-temp_lat_area,4,0.06207602493422982
lh_S_front_inf_area,6,0.054200552812768386
lh_S_precentral-sup-part_area,5,0.04951345808931003
lh_S_central_area,5,0.04828990908929044
lh_S_interm_prim-Jensen_area,4,0.04686489226837919
rh_S_subparietal_area,5,0.045165742932866224
lh_G_postcentral_area,5,0.042017929961523835
rh_G_occipital_middle_area,5,0.041459920895665886
rh_G_front_inf-Triangul_area,4,0.03505640663636415
rh_G_and_S_transv_frontopol_area,4,0.03505640663636415
lh_S_front_middle_area,4,0.03037490631850019
rh_S_occipital_ant_area,3,0.026470504837628125
rh_S_precentral-sup-part_area,3,0.017273302040425327
rh_S_oc_middle_and_Lunatus_area,2,0.008070504837628124
