Name,frecuency,variation (a/k)
rh_G_temporal_inf_thickness,2,0.009765670261941448
rh_G_temporal_middle_thickness,2,0.009765670261941448
rh_Lat_Fis-ant-Horizont_thickness,6,0.05795788246267178
rh_Lat_Fis-ant-Vertical_thickness,4,0.03198540256162045
rh_Lat_Fis-post_thickness,5,0.035500387169016316
rh_Pole_occipital_thickness,4,0.024667053835682982
rh_Pole_temporal_thickness,499,10.803769025239234
rh_S_calcarine_thickness,498,10.798992445886384
rh_S_central_thickness,13,0.1743175395737732
rh_S_cingul-Marginalis_thickness,3,0.028137443460698432
rh_S_circular_insula_ant_thickness,13,0.19311244327716098
rh_S_circular_insula_inf_thickness,495,10.757623735337264
rh_S_circular_insula_sup_thickness,489,10.256247304535684
rh_S_collat_transv_ant_thickness,2,0.009765670261941448
rh_S_collat_transv_post_thickness,4,0.024667053835682982
rh_S_front_inf_thickness,2,0.009765670261941448
rh_S_front_middle_thickness,419,7.606792342150709
rh_S_front_sup_thickness,410,7.435799142099266
rh_S_interm_prim-Jensen_thickness,4,0.03086837416758293
rh_S_intrapariet_and_P_trans_thickness,5,0.03794768624675018
rh_S_oc_middle_and_Lunatus_thickness,2,0.012998296892980436
rh_S_oc_sup_and_transversal_thickness,17,0.2398754676748333
rh_S_occipital_ant_thickness,4,0.024667053835682982
rh_S_oc-temp_lat_thickness,2,0.012785785336740067
rh_S_oc-temp_med_and_Lingual_thickness,6,0.06423960212717766
rh_S_orbital_lateral_thickness,4,0.03573815016299278
rh_S_orbital_med-olfact_thickness,3,0.019677962926592074
rh_S_orbital-H_Shaped_thickness,497,10.781549292939555
rh_S_parieto_occipital_thickness,17,0.27554361715966835
rh_S_pericallosal_thickness,497,10.776277866512377
rh_S_postcentral_thickness,9,0.09322852121400381
rh_S_precentral-inf-part_thickness,2,0.009765670261941448
rh_S_precentral-sup-part_thickness,2,0.011668756942702547
rh_S_suborbital_thickness,3,0.019677962926592074
rh_S_subparietal_thickness,3,0.016657847851793455
rh_S_temporal_inf_thickness,3,0.016657847851793455
rh_S_temporal_sup_thickness,8,0.09014323639720999
rh_S_temporal_transverse_thickness,2,0.011668756942702547
